"","betweenness","degree","closeness","eigen_centrality","page_rank","count_components","components","feature_id"
"100131439",5.27641176696445e-05,0.000618965090368903,0.296703903417561,4.29235967157671e-05,3.21680193964877e-05,14,1,"100131439"
"100131755",0,6.18965090368903e-05,0.258460650560303,1.24409697395093e-05,1.20250895076224e-05,14,1,"100131755"
"100131801",0.000238562363004224,0.00402327308739787,0.319342378924433,0.00614721788615169,7.4427830044959e-05,14,1,"100131801"
"100131827",1.15441133601719e-05,0.000123793018073781,0.260764079836962,5.07262384403384e-06,1.50937792056569e-05,14,1,"100131827"
"100132074",9.46496944393133e-08,0.000123793018073781,0.266973570908127,6.46844568604914e-06,1.41260166248039e-05,14,1,"100132074"
"100132247",0.00185712082946786,0.0125649913344887,0.327882855399634,0.000387892082368066,0.000452914112087291,14,1,"100132247"
"100132386",1.31600596961055e-06,0.000866551126516464,0.312157530931129,0.000166251619097685,3.29918711096777e-05,14,1,"100132386"
"100132406",0.000617958000905243,0.00328051497895519,0.310605914651768,0.0002142564925181,0.000145716006779646,14,1,"100132406"
"100132463",0,6.18965090368903e-05,0.195788399883416,1.19714854055641e-09,1.6010318336471e-05,14,1,"100132463"
"100133093",3.83019593560059e-06,0.000804654617479574,0.290089247157046,6.40113058388975e-06,2.10971769439667e-05,14,1,"100133093"
"100133941",0.000131865224543071,0.0193117108195098,0.331264896852141,0.222703988303224,0.000115058552667866,14,1,"100133941"
"100134444",0.000325572981822384,0.000990344144590245,0.262385261376212,1.25049721461173e-05,6.66672808709924e-05,14,1,"100134444"
"100134934",0.00110182846112249,0.0395518692745729,0.32910100432759,0.296500894313299,0.000281628996347644,14,1,"100134934"
"100137049",2.72908540811083e-05,0.00167120574399604,0.291552887136734,2.6617169011579e-06,4.99010227759286e-05,14,1,"100137049"
"10013",7.6422848536484e-06,0.000433275563258232,0.280905336887774,0.000291040982858028,2.17555967753853e-05,14,1,"10013"
"100141515",1.27727220588315e-05,0.000680861599405793,0.315202940486432,0.000173407095952438,3.03656665257653e-05,14,1,"100141515"
"100142659",0,6.18965090368903e-05,0.195591250439783,5.67753917220572e-10,1.74202576853003e-05,14,1,"100142659"
"10014",1.00400090140007e-05,0.00105224065362714,0.295664612676056,3.09251449731988e-06,2.24658580788244e-05,14,1,"10014"
"100151643",0.00012619188204269,0.00111413716266403,0.307196890303157,8.55503870715026e-05,4.48261706315767e-05,14,1,"100151643"
"10015",3.1297604716016e-05,0.0130601634067839,0.308755936877585,0.136375832038272,7.5482214640715e-05,14,1,"10015"
"10016",4.10053040131471e-06,0.00117603367170092,0.293543570882342,0.00398155667327798,2.10914486537467e-05,14,1,"10016"
"100170229",4.0625102870764e-07,0.000185689527110671,0.265164473684211,3.6254679809836e-05,1.40909490390718e-05,14,1,"100170229"
"10017",1.00601316699658e-07,0.00173310225303293,0.294632577349732,0.0240378708067737,1.83616403061433e-05,14,1,"10017"
"100188893",0.000263719617101053,0.00519930675909879,0.300240236884742,0.00188969509218383,9.96162911189991e-05,14,1,"100188893"
"100190949",0.000137384337099394,0.0292151522654122,0.330423020167241,0.303108494497609,0.0001544459264876,14,1,"100190949"
"100191040",0,6.18965090368903e-05,0.229681022324163,1.88311760339469e-06,1.14195641081453e-05,14,1,"100191040"
"10019",7.97211941423493e-05,0.0118841297350829,0.30979420072635,5.00597694784419e-05,7.78032332028977e-05,14,1,"10019"
"1001",0.000421943424774342,0.00581827184946769,0.309508725450671,0.000182612770477908,7.15260258688953e-05,14,1,"1001"
"10020",2.08010157912971e-05,0.00662292646694726,0.290706480579898,0.065365584692236,4.47469755854141e-05,14,1,"10020"
"10021",5.38794524673013e-06,0.000618965090368903,0.318906515804882,0.000334430961966083,2.7600905591815e-05,14,1,"10021"
"10022",7.42424640805855e-08,0.00179499876206982,0.270326464226429,0.0154255029275511,1.80054364483804e-05,14,1,"10022"
"10023",0,6.18965090368903e-05,0.267549536990939,8.77601735287589e-06,1.13742297253299e-05,14,1,"10023"
"10024",5.20719747793409e-06,0.00160930923495915,0.269436459656394,4.91968009520148e-05,4.14418390040317e-05,14,1,"10024"
"10025",5.46064901989919e-05,0.00160930923495915,0.307355015823388,0.00998828898675384,2.07216559953516e-05,14,1,"10025"
"10026",3.17088909874224e-06,0.000371379054221342,0.244780832941105,1.58148556871003e-06,1.6889959589717e-05,14,1,"10026"
"100271849",0.0100344292287027,0.081270116365437,0.339346229135532,0.00024366317842172,0.00106902659127891,14,1,"100271849"
